DATE,PW,CAPA,SOLAR_PW,SOLAR_CAPA,WIND_PW,WIND_CAPA,TEMP_MAX,TEMP_MIN,RADIATION,MA1H,MA1D,MACD,20SD,upper_band,lower_band,EMA,logmomentum,IDX,ABS_3COMP,ANGLE_3COMP,ABS_6COMP,ANGLE_6COMP,ABS_9COMP,ANGLE_9COMP,DWT_A,DWT_D
202102041315,1374.0,9459.0,1084.0,4788.0,290.0,4671.0,100.0,51.0,42.0,1543.75,1816.875,-25.74358112897403,1175.3299384427496,4167.534876885499,-533.7848768854992,1439.4196245986711,7.224753405767971,3295,1963.5397372025056,0.050474501778376736,1569.230656636588,0.0206108941117867,1364.2069912854436,0.01693826226650067,1287.0000000000002,-87.00000000000007
202102041330,1200.0,9459.0,945.0,4788.0,255.0,4671.0,100.0,51.0,42.0,1437.0,1808.4791666666667,-25.179862166899284,1174.859624221001,4158.198415108669,-541.2400817753353,1279.8065415328904,7.089243155027514,3296,1964.119050555706,0.05076717688393573,1569.2407753472621,0.020922393829323403,1363.4975196290295,0.017245608459143722,1014.5000000000001,39.50000000000008
202102041345,1054.0,9459.0,830.0,4788.0,224.0,4671.0,100.0,51.0,42.0,1291.25,1798.3020833333333,-24.49003288280528,1174.4435275087083,4147.18913835075,-550.5849716840833,1129.26884717763,6.959398512133975,3297,1964.6993765063237,0.05105941411026784,1569.2532377452098,0.02123345895095953,1362.7982541942613,0.017552400978922432,1014.5000000000001,-39.50000000000008
202102041400,975.0,9459.0,780.0,4788.0,195.0,4671.0,100.0,51.0,42.0,1150.75,1788.6979166666667,-23.732922106534033,1174.0562636264335,4136.810443919534,-559.4146105862003,1026.42294905921,6.881411303642535,3298,1965.280712878993,0.05135121198853302,1569.2680487319071,0.02154408208500679,1362.1092144639788,0.01785861898912699,852.0000000000002,41.99999999999994
202102041415,894.0,9459.0,699.0,4788.0,195.0,4671.0,100.0,51.0,42.0,1030.75,1779.2604166666667,-22.906950514915025,1173.6979131062535,4126.656242879174,-568.1354095458403,938.1409830197366,6.794586580876499,3299,1965.8630574903696,0.05164256905539288,1569.2852131910083,0.021854255847742213,1361.4304195764723,0.018164241655424605,852.0000000000002,-41.99999999999994
202102041430,810.0,9459.0,631.0,4788.0,179.0,4671.0,100.0,51.0,42.0,933.25,1770.90625,-22.00966920820497,1173.3692070201755,4117.644664040351,-575.832164040351,852.713661006579,6.695798917058491,3300,1966.446408149163,0.05193348385301694,1569.3047359883515,0.022163972863658687,1360.761888325432,0.018469248148443664,756.5000000000001,0.5000000000000041
202102041445,757.0,9459.0,561.0,4788.0,196.0,4671.0,100.0,51.0,42.0,859.0,1762.1354166666667,-21.06833513989227,1173.0585487592934,4108.252514185254,-583.9816808519201,788.9045536688596,6.628041376179533,3301,1967.0307626561546,0.05222395492908943,1569.326621971953,0.022473225765716264,1360.1036391599073,0.01877361764636847,756.5000000000001,-0.5000000000000041
202102041500,756.0,9459.0,481.0,4788.0,275.0,4671.0,100.0,51.0,42.0,804.25,1753.3229166666667,-20.128484553594944,1172.7384657792427,4098.799848225152,-592.1540148918186,766.9681845562865,6.626717749249025,3302,1967.6161188042306,0.05251398083681555,1569.3508759720085,0.022782007195593073,1359.4556901842934,0.019077329337541686,775.5000000000001,15.500000000000046
202102041515,791.0,9459.0,425.0,4788.0,366.0,4671.0,100.0,51.0,42.0,778.5,1745.5625,-19.22156557722633,1172.3843319818945,4090.331163963789,-599.2061639637891,782.9893948520954,6.672032945461067,3303,1968.2024743784057,0.05280356013492784,1569.3775028008913,0.02309030980393684,1358.8180591583296,0.019380362423076367,775.5000000000001,-15.500000000000046
202102041530,760.0,9459.0,352.0,4788.0,408.0,4671.0,100.0,51.0,42.0,766.0,1739.1875,-18.289834907616296,1172.0302694512598,4083.2480389025195,-604.8730389025195,767.6631316173651,6.63200177739563,3304,1968.7898271558468,0.05309269138769212,1569.4065072531575,0.02339812625061603,1358.1907634971258,0.01968269611947459,655.0,37.00000000000002
202102041545,692.0,9459.0,302.0,4788.0,390.0,4671.0,100.0,51.0,42.0,749.75,1733.6666666666667,-17.30102706845878,1171.6782393243293,4077.0231453153256,-609.6898119819919,717.2210438724551,6.53813982376767,3305,1969.378174905905,0.053381373164913884,1569.4378941055484,0.02370544920497143,1357.5738202712007,0.019984309661253908,655.0,-37.00000000000002
202102041600,618.0,9459.0,244.0,4788.0,374.0,4671.0,100.0,51.0,42.0,715.25,1729.1041666666667,-16.25004193028576,1171.350915783223,4071.8059982331124,-613.5976648997791,651.0736812908184,6.424869023905388,3306,1969.9675153901355,0.05366960404194404,1569.4716681169928,0.02401227134606721,1356.967246206547,0.020285182303579393,599.0,-2.9999999999999845
202102041615,596.0,9459.0,201.0,4788.0,395.0,4671.0,100.0,51.0,42.0,666.5,1724.7604166666667,-15.182474191173014,1171.0065742002391,4066.773565067145,-617.2527317338115,614.3578937636062,6.38856140554563,3307,1970.557846362328,0.053957382599684404,1569.5078340286138,0.024318585362942572,1356.3710576847081,0.0205852933249022,599.0,2.9999999999999845
202102041630,602.0,9459.0,157.0,4788.0,445.0,4671.0,100.0,51.0,42.0,627.0,1721.0833333333333,-14.122835068304767,1170.6359457907993,4062.3552249149316,-620.1885582482653,606.119297921202,6.398594934535208,3308,1971.1491655685325,0.054244707424593745,1569.546396563737,0.02462438395486296,1355.785270742884,0.020884622029602725,593.0000000000001,-13.000000000000025
202102041645,580.0,9459.0,96.0,4788.0,484.0,4671.0,100.0,51.0,42.0,599.0,1717.2083333333333,-13.04663599099581,1170.264358893033,4057.7370511193994,-623.3203844527327,588.7064326404006,6.361302477572996,3309,1971.741470747087,0.054531577108693094,1569.587360427897,0.024929659831571534,1355.2099010740449,0.02118314775063852,593.0000000000001,13.000000000000025
202102041700,606.0,9459.0,51.0,4788.0,555.0,4671.0,100.0,51.0,42.0,596.0,1712.8958333333333,-11.995870796738018,1169.8647181684555,4052.625269670244,-626.8336030035778,600.2354775468002,6.405228458030842,3310,1972.334759628639,0.05481799024957111,1569.6307303088445,0.025234405713540634,1354.6449640270741,0.021480849852195952,698.0000000000001,-16.00000000000001
202102041715,682.0,9459.0,18.0,4788.0,664.0,4671.0,100.0,51.0,42.0,617.5,1707.1145833333333,-11.014179838011614,1169.4155789297952,4045.9457411929234,-631.7165745262571,654.7451591822668,6.523562306149512,3311,1972.9290299361783,0.05510394545038954,1569.6765108765585,0.025538614332222865,1354.090474606924,0.021777707732344633,698.0000000000001,16.00000000000001
202102041730,714.0,9459.0,2.0,4788.0,712.0,4671.0,100.0,51.0,42.0,645.5,1700.3854166666667,-10.062933229722375,1168.9658501705803,4038.3171170078276,-637.5462836744939,694.2483863940889,6.569481420414296,3312,1973.5242793850605,0.05538944131988817,1569.7247067832598,0.0258422784303023,1353.546447474797,0.022073700825695118,753.0000000000002,-18.000000000000068
202102041745,735.0,9459.0,0.0,4788.0,735.0,4671.0,100.0,51.0,42.0,684.25,1693.0104166666667,-9.132441185530524,1168.5176444297545,4030.045705526176,-644.0248721928422,721.4161287980296,6.598509028614515,3313,1974.1205056830347,0.055674476472389677,1569.7753226634181,0.026145390761945927,1353.0128969483358,0.022368808606057826,753.0000000000002,18.000000000000068
202102041800,771.0,9459.0,0.0,4788.0,771.0,4671.0,100.0,51.0,42.0,725.5,1684.71875,-8.235766378774315,1168.0612731050185,4020.841296210037,-651.403796210037,754.4720429326766,6.646390514847729,3314,1974.7177065302692,0.05595904952780489,1569.8283631337695,0.026447944093054197,1352.489837001844,0.02266301058910291,857.0000000000001,-36.00000000000005
202102041815,821.0,9459.0,0.0,4788.0,821.0,4671.0,100.0,51.0,42.0,760.25,1676.0729166666667,-7.385065607470551,1167.6072492308572,4011.2874151283813,-659.1415817950476,798.8240143108923,6.709304340258298,3315,1975.315879619378,0.056243159111637575,1569.8838327933283,0.026749931201513096,1351.9772812665149,0.022956286335022395,857.0000000000001,36.00000000000005
