DATE,PW,CAPA,TEMP_MAX,TEMP_MIN,RADIATION,MA1H,MA1D,MACD,20SD,upper_band,lower_band,EMA,logmomentum,IDX,ABS_3COMP,ANGLE_3COMP,ABS_6COMP,ANGLE_6COMP,ABS_9COMP,ANGLE_9COMP,DWT_A,DWT_D
202103091300,686.0,4788.0,74.0,34.0,126.0,666.0,400.21875,-85.60188342031296,863.3520248632617,2126.9227997265234,-1326.4852997265234,676.8003989748827,6.529418838262226,6461,502.2029864639069,-0.07125596344293308,507.96507342684373,0.03766238578565141,515.1690595655898,0.0055856769002605045,722.0000000000001,35.99999999999997
202103091315,758.0,4788.0,74.0,34.0,126.0,689.75,379.6875,-85.70013697606015,863.1952333560739,2106.077966712148,-1346.7029667121478,730.9334663249609,6.6293632534374485,6462,502.18551321247696,-0.07099451298884907,507.64301838959784,0.03770426067683989,514.4071726205026,0.005442456602329337,717.5000000000001,31.500000000000014
202103091330,749.0,4788.0,74.0,34.0,126.0,714.5,359.3333333333333,-85.78965969510472,863.0136396704587,2085.3606126742507,-1366.6939460075841,742.9778221083203,6.617402977974478,6463,502.16830168156065,-0.07073267166694909,507.32068809075844,0.03774548614481398,513.6443186425952,0.00529858656578951,717.5000000000001,-31.500000000000014
202103091345,686.0,4788.0,74.0,34.0,126.0,719.75,339.1041666666667,-85.8202975796471,862.8265147038647,2064.7571960743962,-1386.5488627410627,704.9926073694401,6.529418838262226,6464,502.15135233729285,-0.0704704410500414,506.99808454539897,0.037786060533893044,512.8805150011216,0.00515406946086775,602.0000000000001,3.0000000000000244
202103091400,605.0,4788.0,74.0,34.0,126.0,699.5,318.5104166666667,-85.77547423203617,862.6573828547695,2043.8251823762057,-1406.8043490428722,638.3308691231467,6.403574197934815,6465,502.13466564385266,-0.07020782271500937,506.6752097761593,0.037825982194775315,512.1157791086886,0.0050089079954492586,602.0000000000001,-3.0000000000000244
202103091415,599.0,4788.0,74.0,34.0,126.0,659.75,299.4270833333333,-85.72507008930484,862.4860132576804,2024.399109848694,-1425.5449431820275,612.1102897077157,6.393590753950631,6466,502.11824206345835,-0.06994481824279696,506.3520658132503,0.037865249484579026,511.35012842071865,0.004863104915411398,570.5000000000001,19.499999999999996
202103091430,590.0,4788.0,74.0,34.0,126.0,620.0,281.3854166666667,-85.66631175982235,862.3729441701663,2006.1313050069994,-1443.3604716736659,597.3700965692386,6.3784261836515865,6467,502.1020820563598,-0.06968142921839428,506.0286546944543,0.03790386076688418,510.5835804349108,0.004716663004959397,570.5000000000001,-19.499999999999996
202103091445,551.0,4788.0,74.0,34.0,126.0,586.25,264.3125,-85.57134449866709,862.2729836157279,1988.8584672314557,-1460.2334672314557,566.4566988564129,6.309918278226516,6468,502.086186080833,-0.06941765723082267,505.70497846512853,0.03794181441177309,509.8161526906989,0.004569585086962281,498.00000000000006,-11.000000000000009
202103091500,487.0,4788.0,74.0,34.0,126.0,556.75,248.54166666666666,-85.41703001484507,862.2131709963986,1972.968008659464,-1475.8846753261305,513.485566285471,6.186208623900494,6469,502.07055459317394,-0.06915350387312003,505.3810391782063,0.03797910879587291,509.0478627687103,0.004421874023291853,498.00000000000006,11.000000000000009
202103091515,509.0,4788.0,74.0,34.0,126.0,534.25,234.98958333333334,-85.28343045622239,862.1679299084826,1959.3254431502985,-1489.346276483632,510.4951887618237,6.230481447578482,6470,502.05518804769105,-0.06888897074232632,505.05683889419953,0.0380157423023964,508.27872829022056,0.004273532715162095,487.50000000000006,6.500000000000012
202103091530,494.0,4788.0,74.0,34.0,126.0,510.25,223.60416666666666,-85.13611281906589,862.1442470677888,1947.8926608022443,-1500.6843274689109,499.4983962539413,6.20050917404269,6471,502.04008689670053,-0.06862405943946787,504.7323796811995,0.03805171332118533,507.5087669166073,0.0041245641034716556,487.50000000000006,-6.500000000000012
202103091545,481.0,4788.0,74.0,34.0,126.0,492.75,214.625,-84.97697045344472,862.1389575201882,1938.9029150403765,-1509.6529150403765,487.16613208464713,6.173786103901937,6472,502.0252515905185,-0.06835877156954263,504.4076636148792,0.0380870202487519,506.7379963488037,0.003974971169146148,391.50000000000006,22.50000000000002
202103091600,414.0,4788.0,74.0,34.0,126.0,474.5,206.83333333333334,-84.75585579544259,862.1429435407193,1931.119220414772,-1517.4525537481054,438.3887106948824,6.023447592961033,6473,502.0106825774563,-0.06809310874150538,504.0826927784948,0.038121661488321475,505.9664343267479,0.003824756933483173,391.50000000000006,-22.50000000000002
202103091615,369.0,4788.0,74.0,34.0,126.0,439.5,200.41666666666666,-84.4933688489482,862.1508359861762,1924.718338639019,-1523.8850053056856,392.12957023162744,5.908082938168931,6474,501.9963803038129,-0.06782707256825175,503.7574692628861,0.03815563544987568,505.1940986288323,0.0036739244584984947,303.50000000000006,34.50000000000002
202103091630,338.0,4788.0,74.0,34.0,126.0,400.5,195.55208333333334,-84.20262382392531,862.1577147425568,1919.8675128184468,-1528.7633461517803,356.04319007720915,5.820082930352362,6475,501.98234521386985,-0.06756066466660308,503.4319951664779,0.03818894055019512,504.4210070713508,0.00352247684727328,303.50000000000006,-34.50000000000002
